VARIABLES = "X", "Y", "xhi_csi", "xhi_eta", "xhj_csi", "xhj_eta", "JacobianHi", "JacobianHj"
ZONE I=161, J=60, F=POINT
1.000047 0.003252 62106.347090 -13900.141713 27834.964546
0.995861 0.000824 95673.092219 -49047.414026 53794.506685
20.936805 1.608411 1.543219 0.000377 0.471980
19.485471 1.493666 1.789346 0.000419 0.507440
18.137391 1.387117 2.074701 0.000471 0.588154
16.885222 1.288173 2.405514 0.000534 0.681710
15.722146 1.196289 2.789061 0.000611 0.790153
14.641826 1.110956 3.233728 0.000702 0.915849
13.638376 1.031707 3.749287 0.000810 1.061547
12.706329 0.958103 4.347028 0.000951 1.230431
11.840608 0.889742 5.040068 0.001113 1.426192
11.036496 0.826247 5.843631 0.001313 1.653113
10.289612 0.767272 6.775354 0.001548 1.916160
9.595888 0.712493 7.855711 0.001828 2.221095
8.951545 0.661611 9.108442 0.002169 2.574602
8.353075 0.614349 10.561104 0.002544 2.984435
7.797217 0.570448 12.245637 0.003005 3.459596
7.280947 0.529670 14.198912 0.003437 4.010543
6.801452 0.491794 16.464011 0.003960 4.649403
6.356123 0.456614 19.090724 0.004396 5.390284
5.942536 0.423940 22.136354 0.004785 6.249585
5.558440 0.393596 25.668133 0.005019 7.246371
5.201747 0.365417 29.762542 0.004841 8.402811
4.870515 0.339254 34.509310 0.003907 9.744703
4.562942 0.314965 40.011003 0.002078 11.302181
4.277357 0.292421 46.386449 -0.001752 13.110303
4.012205 0.271502 53.772120 -0.008014 15.210039
3.766046 0.252096 62.323539 -0.018256 17.649334
3.537542 0.234099 72.221967 -0.034184 20.484121
3.325450 0.217416 83.672664 -0.058426 23.779956
3.128617 0.201956 96.912212 -0.093562 27.614191
2.945975 0.187633 112.209183 -0.143273 32.077601
2.776532 0.174366 129.874144 -0.212343 37.276885
2.619367 0.162076 150.266720 -0.304610 43.338729
2.473628 0.150688 173.808609 -0.425089 50.413419
2.338524 0.140127 201.002542 -0.575027 58.679663
2.213324 0.130319 232.447968 -0.757821 68.351577
2.097350 0.121192 268.888792 -0.968290 79.686315
1.989974 0.112674 311.250145 -1.192194 92.993735
1.890617 0.104700 360.732433 -1.427128 108.653387
1.798743 0.097207 418.842143 -1.642471 127.127858
1.713856 0.090141 487.545698 -1.827886 148.988485
1.635499 0.083456 569.345872 -1.955809 174.950851
1.563250 0.077114 667.424964 -2.016196 205.911242
1.496720 0.071089 786.076156 -2.021171 243.015026
1.435551 0.065360 930.566328 -1.994658 287.733718
1.379413 0.059912 1108.034990 -2.004851 342.002316
1.328005 0.054736 1327.800278 -2.155337 408.389826
1.281051 0.049822 1602.525224 -2.652356 490.389488
1.238302 0.045160 1949.516916 -3.824840 592.846739
1.199531 0.040741 2392.854658 -6.308346 722.616936
1.164535 0.036554 2968.024270 -11.158315 889.785701
1.133134 0.032585 3727.073222 -20.383157 1109.644615
1.105172 0.028820 4748.194546 -38.179149 1406.481060
1.080517 0.025245 6158.957548 -72.726886 1820.682338
1.059063 0.021843 8166.282108 -144.047855 2423.779079
1.040731 0.018597 11127.134812 -300.990644 3350.902582
1.025462 0.015487 15686.542348 -675.476502 4871.286216
1.013200 0.012472 22997.626425 -1661.874171 7523.881018
1.003821 0.009459 34750.821628 -4400.041633 12105.449684
0.996926 0.006148 50154.545245 -10603.845488 17826.472087
0.991515 0.001683 70435.256031 -24651.031445 25132.899376
20.857903 2.409517 1.543222 0.000518 0.471968
19.412206 2.237639 1.789345 0.000578 0.507428
18.069360 2.078036 2.074680 0.000647 0.588140
16.822051 1.929828 2.405487 0.000731 0.681695
15.663487 1.792194 2.789015 0.000831 0.790135
14.587356 1.664376 3.233665 0.000954 0.915829
13.587795 1.545671 3.749202 0.001105 1.061523
12.659361 1.435425 4.346901 0.001277 1.230402
11.796993 1.333034 5.039911 0.001494 1.426156
10.995995 1.237934 5.843419 0.001742 1.653068
10.252002 1.149606 6.775133 0.002051 1.916103
9.560962 1.067565 7.855451 0.002408 2.221020
8.919112 0.991363 9.108115 0.002802 2.574505
8.322955 0.920584 10.560687 0.003275 2.984310
7.769246 0.854841 12.245004 0.003775 3.459432
7.254968 0.793778 14.198214 0.004343 4.010327
6.777324 0.737062 16.463370 0.004902 4.649118
6.333711 0.684384 19.089862 0.005414 5.389902
5.921717 0.635461 22.135805 0.005732 6.249086
5.539099 0.590026 25.667462 0.005761 7.245693
5.183776 0.547835 29.762266 0.005056 8.401893
4.853813 0.508661 34.509897 0.003500 9.743512
4.547417 0.472293 40.012560 0.000343 11.300570
4.262920 0.438536 46.389403 -0.005299 13.108128
3.998776 0.407210 53.776993 -0.014705 15.207174
3.753548 0.378148 62.334608 -0.029322 17.645458
3.525904 0.351192 72.237508 -0.052148 20.478889
3.314605 0.326199 83.695622 -0.085709 23.772965
3.118503 0.303032 96.945137 -0.134382 27.604765
2.936534 0.281563 112.253258 -0.203652 32.064798
2.767709 0.261670 129.928002 -0.298681 37.259491
2.611112 0.243235 150.330140 -0.426182 43.315284
2.465894 0.226145 173.873191 -0.590288 50.381669
2.331269 0.210288 201.039981 -0.796425 58.635887
2.206508 0.195555 232.434130 -1.045346 68.291363
2.090938 0.181839 268.781290 -1.328796 79.604258
1.983937 0.169035 310.993272 -1.637093 92.880387
1.884926 0.157044 360.242521 -1.946982 108.496132
1.793376 0.145775 418.009426 -2.233802 126.910247
1.708792 0.135147 486.248822 -2.461274 148.685274
1.630721 0.125093 567.471760 -2.613666 174.527320
1.558742 0.115559 664.888079 -2.670435 205.316867
1.492467 0.106502 782.595173 -2.641945 242.177958
1.431538 0.097895 926.068580 -2.570524 286.553695
1.375625 0.089714 1102.111014 -2.520513 340.329099
1.324427 0.081945 1320.177200 -2.681462 405.996967
1.277666 0.074572 1592.459083 -3.269358 486.925383
1.235093 0.067580 1935.697777 -4.834558 587.766701
1.196479 0.060955 2373.858915 -8.089151 715.051342
1.161620 0.054677 2940.966519 -14.445543 878.281514
1.130335 0.048725 3685.848399 -26.487334 1091.644192
1.102464 0.043079 4685.971706 -49.437906 1377.215360
1.077873 0.037713 6057.761654 -94.367017 1770.850757
1.056446 0.032601 7990.769783 -183.724457 2333.178508
1.038091 0.027714 10803.759438 -373.427296 3171.406155
1.022725 0.023013 15025.418588 -799.479838 4475.317546
1.010244 0.018426 21469.017880 -1796.628235 6543.030285
1.000450 0.013795 30913.510820 -4053.491325 9584.133768
0.992915 0.008740 42087.089119 -8013.372091 12855.280594
0.986952 0.002576 56366.704960 -15180.392304 16010.843778
20.747611 3.206907 1.543223 0.000658 0.471953
19.309794 2.978163 1.789334 0.000732 0.507412
17.974263 2.765756 2.074658 0.000820 0.588122
16.733746 2.568513 2.405461 0.000926 0.681675
15.581488 2.385343 2.788966 0.001055 0.790113
14.511213 2.215238 3.233587 0.001206 0.915803
13.517090 2.057261 3.749087 0.001390 1.061492
12.593703 1.910544 4.346751 0.001609 1.230363
11.736023 1.774281 5.039723 0.001867 1.426109
10.939376 1.647723 5.843198 0.002187 1.653009
10.199425 1.530177 6.774776 0.002544 1.916029
9.512137 1.421000 7.855011 0.002975 2.220923
8.873769 1.319595 9.107576 0.003466 2.574379
8.280846 1.225408 10.559996 0.004028 2.984146
7.730138 1.137925 12.244340 0.004628 3.459216
7.218647 1.056670 14.197545 0.005270 4.010044
6.743589 0.981199 16.462454 0.005872 4.648738
6.302376 0.911104 19.089038 0.006355 5.389403
5.892608 0.846004 22.134865 0.006680 6.248421
5.512055 0.785547 25.667032 0.006487 7.244790
5.158645 0.729406 29.762517 0.005567 8.400695
4.830457 0.677278 34.510505 0.003346 9.741915
4.525705 0.628884 40.015194 -0.001049 11.298434
4.242730 0.583963 46.394832 -0.008462 13.105309
3.979994 0.542275 53.786427 -0.020337 15.203358
3.736069 0.503595 62.347216 -0.039757 17.640279
3.509627 0.467718 72.259009 -0.069005 20.472000
3.299438 0.434449 83.727504 -0.112085 23.763739
3.104359 0.403606 96.987180 -0.174635 27.592301
2.923331 0.375020 112.306956 -0.262665 32.047902
